g0,eta,w,kappa,gamma,gamma_phi,coupling,phi,lambda
1,1,1.5422363935804437,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.5707963267948966,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.5993562600093492,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.6279161932238018,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.6564761264382544,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.6850360596527072,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.7135959928671598,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.7421559260816124,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.7707158592960652,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.7992757925105178,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.8278357257249704,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.856395658939423,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.8849555921538759,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.9135155253683285,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.942075458582781,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.9706353917972337,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,1.9991953250116865,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.027755258226139,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.056315191440592,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.0848751246550443,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.113435057869497,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.1419949910839495,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.1705549242984024,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.199114857512855,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.227674790727308,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.2562347239417604,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.2847946571562128,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.3133545903706656,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.3419145235851184,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.3704744567995713,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.3990343900140236,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.4275943232284765,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.456154256442929,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.4847141896573817,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.5132741228718345,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.541834056086287,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.5703939893007397,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.5989539225151925,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.627513855729645,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.6560737889440977,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.6846337221585506,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.713193655373003,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.7417535885874558,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.770313521801908,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.798873455016361,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.827433388230814,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.855993321445266,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.884553254659719,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.913113187874172,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.941673121088624,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.970233054303077,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,2.9987929875175294,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,3.0273529207319823,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,3.055912853946435,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,3.0844727871608875,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,3.1130327203753403,0.1,0,0.01,cos_mod,4.71238898038469,0.1
1,1,3.141592653589793,0.1,0,0.01,cos_mod,4.71238898038469,0.1
