g0,eta,sigma,kappa,gamma,gamma_phi,coupling,epsilon,T
1,1,-1,0.1,0,0.01,gauss,0.797979797979798,5.0
1,1,-1,0.1,0,0.01,gauss,0.8156565656565656,5.0
1,1,-1,0.1,0,0.01,gauss,0.8333333333333333,5.0
1,1,-1,0.1,0,0.01,gauss,0.851010101010101,5.0
1,1,-1,0.1,0,0.01,gauss,0.8686868686868686,5.0
1,1,-1,0.1,0,0.01,gauss,0.8863636363636364,5.0
1,1,-1,0.1,0,0.01,gauss,0.904040404040404,5.0
1,1,-1,0.1,0,0.01,gauss,0.9217171717171717,5.0
1,1,-1,0.1,0,0.01,gauss,0.9393939393939393,5.0
1,1,-1,0.1,0,0.01,gauss,0.9570707070707071,5.0
1,1,-1,0.1,0,0.01,gauss,0.9747474747474747,5.0
1,1,-1,0.1,0,0.01,gauss,0.9924242424242424,5.0
1,1,-1,0.1,0,0.01,gauss,1.01010101010101,5.0
1,1,-1,0.1,0,0.01,gauss,1.0277777777777777,5.0
1,1,-1,0.1,0,0.01,gauss,1.0454545454545454,5.0
1,1,-1,0.1,0,0.01,gauss,1.0631313131313131,5.0
1,1,-1,0.1,0,0.01,gauss,1.0808080808080809,5.0
1,1,-1,0.1,0,0.01,gauss,1.0984848484848484,5.0
1,1,-1,0.1,0,0.01,gauss,1.1161616161616161,5.0
1,1,-1,0.1,0,0.01,gauss,1.1338383838383836,5.0
1,1,-1,0.1,0,0.01,gauss,1.1515151515151514,5.0
1,1,-1,0.1,0,0.01,gauss,1.1691919191919191,5.0
1,1,-1,0.1,0,0.01,gauss,1.1868686868686869,5.0
1,1,-1,0.1,0,0.01,gauss,1.2045454545454546,5.0
1,1,-1,0.1,0,0.01,gauss,1.2222222222222223,5.0
1,1,-1,0.1,0,0.01,gauss,1.2398989898989898,5.0
1,1,-1,0.1,0,0.01,gauss,1.2575757575757576,5.0
1,1,-1,0.1,0,0.01,gauss,1.2752525252525253,5.0
1,1,-1,0.1,0,0.01,gauss,1.2929292929292928,5.0
1,1,-1,0.1,0,0.01,gauss,1.3106060606060606,5.0
1,1,-1,0.1,0,0.01,gauss,1.3282828282828283,5.0
1,1,-1,0.1,0,0.01,gauss,1.345959595959596,5.0
1,1,-1,0.1,0,0.01,gauss,1.3636363636363635,5.0
1,1,-1,0.1,0,0.01,gauss,1.3813131313131313,5.0
1,1,-1,0.1,0,0.01,gauss,1.398989898989899,5.0
1,1,-1,0.1,0,0.01,gauss,1.4166666666666665,5.0
1,1,-1,0.1,0,0.01,gauss,1.4343434343434343,5.0
1,1,-1,0.1,0,0.01,gauss,1.452020202020202,5.0
1,1,-1,0.1,0,0.01,gauss,1.4696969696969697,5.0
1,1,-1,0.1,0,0.01,gauss,1.4873737373737372,5.0
1,1,-1,0.1,0,0.01,gauss,1.505050505050505,5.0
1,1,-1,0.1,0,0.01,gauss,1.5227272727272727,5.0
1,1,-1,0.1,0,0.01,gauss,1.5404040404040404,5.0
1,1,-1,0.1,0,0.01,gauss,1.558080808080808,5.0
1,1,-1,0.1,0,0.01,gauss,1.5757575757575757,5.0
1,1,-1,0.1,0,0.01,gauss,1.5934343434343434,5.0
1,1,-1,0.1,0,0.01,gauss,1.6111111111111112,5.0
1,1,-1,0.1,0,0.01,gauss,1.6287878787878787,5.0
1,1,-1,0.1,0,0.01,gauss,1.6464646464646464,5.0
1,1,-1,0.1,0,0.01,gauss,1.6641414141414141,5.0
1,1,-1,0.1,0,0.01,gauss,1.6818181818181817,5.0
1,1,-1,0.1,0,0.01,gauss,1.6994949494949494,5.0
1,1,-1,0.1,0,0.01,gauss,1.7171717171717171,5.0
1,1,-1,0.1,0,0.01,gauss,1.7348484848484849,5.0
1,1,-1,0.1,0,0.01,gauss,1.7525252525252524,5.0
1,1,-1,0.1,0,0.01,gauss,1.77020202020202,5.0
1,1,-1,0.1,0,0.01,gauss,1.7878787878787878,5.0
1,1,-1,0.1,0,0.01,gauss,1.8055555555555556,5.0
1,1,-1,0.1,0,0.01,gauss,1.823232323232323,5.0
1,1,-1,0.1,0,0.01,gauss,1.8409090909090908,5.0
1,1,-1,0.1,0,0.01,gauss,1.8585858585858586,5.0
1,1,-1,0.1,0,0.01,gauss,1.8762626262626263,5.0
1,1,-1,0.1,0,0.01,gauss,1.8939393939393938,5.0
1,1,-1,0.1,0,0.01,gauss,1.9116161616161615,5.0
1,1,-1,0.1,0,0.01,gauss,1.9292929292929293,5.0
1,1,-1,0.1,0,0.01,gauss,1.9469696969696968,5.0
1,1,-1,0.1,0,0.01,gauss,1.9646464646464645,5.0
1,1,-1,0.1,0,0.01,gauss,1.9823232323232323,5.0
1,1,-1,0.1,0,0.01,gauss,2.0,5.0
