g0,eta,w,kappa,gamma,gamma_phi,coupling,phi
1,1,0.1494949494949495,0.1,0,0.01,linear,0
1,1,0.15151515151515152,0.1,0,0.01,linear,0
1,1,0.15353535353535352,0.1,0,0.01,linear,0
1,1,0.15555555555555556,0.1,0,0.01,linear,0
1,1,0.15757575757575756,0.1,0,0.01,linear,0
1,1,0.1595959595959596,0.1,0,0.01,linear,0
1,1,0.1616161616161616,0.1,0,0.01,linear,0
1,1,0.16363636363636364,0.1,0,0.01,linear,0
1,1,0.16565656565656567,0.1,0,0.01,linear,0
1,1,0.16767676767676767,0.1,0,0.01,linear,0
1,1,0.1696969696969697,0.1,0,0.01,linear,0
1,1,0.1717171717171717,0.1,0,0.01,linear,0
1,1,0.17373737373737375,0.1,0,0.01,linear,0
1,1,0.17575757575757575,0.1,0,0.01,linear,0
1,1,0.17777777777777778,0.1,0,0.01,linear,0
1,1,0.1797979797979798,0.1,0,0.01,linear,0
1,1,0.18181818181818182,0.1,0,0.01,linear,0
1,1,0.18383838383838383,0.1,0,0.01,linear,0
1,1,0.18585858585858586,0.1,0,0.01,linear,0
1,1,0.18787878787878787,0.1,0,0.01,linear,0
1,1,0.1898989898989899,0.1,0,0.01,linear,0
1,1,0.1919191919191919,0.1,0,0.01,linear,0
1,1,0.19393939393939394,0.1,0,0.01,linear,0
1,1,0.19595959595959597,0.1,0,0.01,linear,0
1,1,0.19797979797979798,0.1,0,0.01,linear,0
1,1,0.2,0.1,0,0.01,linear,0
