regime,resource,coupling,role,source,destination,file_count,bytes
article_both_losses,magic_W_half,gaussian_zeta,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/magic_gauss_epsilon,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_zeta/selected_expected_values,93,780486
article_both_losses,magic_W_half,gaussian_zeta,selected_W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/expected_values_all_cases_xy/expected_values_all_cases_xy1/magic_gauss_epsilon,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_zeta/selected_W_half,16,1094765
article_both_losses,magic_W_half,gaussian_zeta,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/magic_plots/densityplot_gauss1_magic.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_zeta/current_article_figures/densityplot_gauss1_magic.pdf,1,779571
article_both_losses,magic_W_half,gaussian_zeta,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/magic_plots/plottimeev_gauss1_magic.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_zeta/current_article_figures/plottimeev_gauss1_magic.pdf,1,33752
article_both_losses,magic_W_half,gaussian_T,raw_dynamics_legacy_M2,/Users/cesar/Research/time-dependent-coupling-open/results/magic/magic_gauss2,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_T/raw_dynamics_legacy_M2,46,4610097
article_both_losses,magic_W_half,gaussian_T,full_scan_W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/magic/magic_gauss2,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_T/full_scan_W_half,8,6380824
article_both_losses,magic_W_half,gaussian_T,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/magic_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_T/selected_expected_values,93,780191
article_both_losses,magic_W_half,gaussian_T,selected_W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/expected_values_all_cases_xy/expected_values_all_cases_xy1/magic_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_T/selected_W_half,16,1093542
article_both_losses,magic_W_half,gaussian_T,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/magic_plots/densityplot_gauss2_magic.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_T/current_article_figures/densityplot_gauss2_magic.pdf,1,961241
article_both_losses,magic_W_half,gaussian_T,current_article_figure,/Users/cesar/Research/time-dependent-coupling-open/sistema_aberto_acoplamento_variavel/wolfram_plots/magic_plots/plottimeev_gauss2_magic.pdf,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/gaussian_T/current_article_figures/plottimeev_gauss2_magic.pdf,1,32673
article_both_losses,magic_W_half,cosine_omega,raw_dynamics_legacy_M2,/Users/cesar/Research/time-dependent-coupling-open/results/magic/magic_cos1,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/cosine_omega/raw_dynamics_legacy_M2,46,8426823
article_both_losses,magic_W_half,cosine_omega,full_scan_W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/magic/magic_cos1,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/cosine_omega/full_scan_W_half,8,13668553
article_both_losses,magic_W_half,cosine_omega,selected_expected_values,/Users/cesar/Research/time-dependent-coupling-open/results/expected_values_all_cases_xy/expected_values_all_cases_xy1/magic_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/article_both_losses/magic_W_half/cosine_omega/selected_expected_values,93,779291
