t,sz_const,nb_const,sz_const_aberto,nb_const_aberto
0.3,-0.06352998897089521,5.031764688123687,-0.06351557006088646,4.883621228574954
0.31,-0.0661536689246962,5.033076524912587,-0.06617447434523936,4.880068830865798
0.32,-0.06867000180641182,5.034334670822523,-0.06873340239387106,4.8764700204876865
0.33,-0.07106586551816158,5.0355325818116325,-0.07117982910576175,4.872818583140993
0.34,-0.07332849549411892,5.036663898902907,-0.07350162091127563,4.86910850759822
0.35000000000000003,-0.07544553538912865,5.037722405052493,-0.07568705564386045,4.865333994685243
0.36,-0.07740508356901944,5.03870214835794,-0.07772486953598697,4.861489480638569
0.37,-0.07919574010300257,5.039597452345445,-0.079604301532746,4.857569659048704
0.38,-0.08080665142026786,5.040402926068614,-0.0813150115473143,4.8535694361678585
0.39,-0.08222755099692473,5.04111339115925,-0.08284724470556809,4.8494840162501
0.4,-0.08344880153090078,5.041724014913984,-0.084191900745691,4.845308936755394
0.41000000000000003,-0.08446143299842977,5.0422303225705765,-0.08534054503997132,4.841040072694598
0.42,-0.085257178097947,5.042628203601996,-0.08628545424104034,4.836673659277246
0.43,-0.08582850357830284,5.042913862325356,-0.08701950875027752,4.832206236402064
0.44,-0.08616864207083817,5.043083905477324,-0.08753606859239155,4.8276345846806805
0.45,-0.08627161989474318,5.043135363624268,-0.08782943706131441,4.822955961365099
0.46,-0.08613228151024249,5.043065694439551,-0.08789472186404823,4.818168028855184
0.47000000000000003,-0.08574630807539017,5.042872709060023,-0.08772786456346499,4.813268869078877
0.48,-0.08511023799152012,5.042554657741191,-0.08732564050418468,4.808256982941953
0.49,-0.08422148308981352,5.042110261350268,-0.08668524309708646,4.803131079201377
0.5,-0.08307834025323768,5.041538703051522,-0.08580480381063782,4.797890337395931
0.51,-0.08167999665257426,5.04083955384747,-0.08468340170789723,4.7925344121652635
0.52,-0.08002653750676124,5.040012827592859,-0.08332099710824532,4.787063399128284
0.53,-0.07811895024936548,5.039059023496191,-0.08171845501970103,4.78147784624202
0.54,-0.0759591227691503,5.03797910691512,-0.07987725088643848,4.775778605532958
0.55,-0.07354983655648466,5.036774457137367,-0.07779936981015563,4.769966782043492
0.56,-0.07089476000001937,5.035446887586309,-0.07548790991553588,4.76404403659053
0.5700000000000001,-0.06799844006736618,5.033998687947816,-0.0729468136324711,4.758012450327305
0.58,-0.06486628766333521,5.032432602232659,-0.07018087316731877,4.7518745270773435
0.59,-0.06150455709904425,5.03075175489621,-0.0671956668666898,4.74563316112017
0.6,-0.057920325682786176,5.02895964126948,-0.06399703735410238,4.739291375860258
0.61,-0.054121475473205526,5.027060208344594,-0.06059175779199454,4.732852656567008
0.62,-0.050116665570413055,5.025057808542105,-0.05698741606317275,4.726320892068964
0.63,-0.045915302170903914,5.022957148509152,-0.05319232915298803,4.719700331548562
0.64,-0.041527506487178366,5.020763250247819,-0.0492155359680672,4.712995580555835
0.65,-0.03696408418281528,5.018481520620651,-0.04506642355446557,4.706211414813974
0.66,-0.032236488304132005,5.016117706257942,-0.04075477611696979,4.69935280416588
0.67,-0.02735677896188167,5.013677847295632,-0.03629117220478034,4.692425109566618
0.68,-0.022337579821795035,5.011168220025766,-0.03168673823006672,4.685433960159969
0.6900000000000001,-0.017192041497166303,5.008595411020804,-0.0269531270327098,4.678385242207554
0.7000000000000001,-0.011933795327797451,5.0059662694759135,-0.022102416973716253,4.671285048822169
0.71,-0.006576906694729712,5.003287854349508,-0.01714672740109922,4.6641394898139055
0.72,-0.0011358258375004945,5.000567332229987,-0.012098716366456515,4.656954936668823
0.73,0.004374657435198904,4.997812090412315,-0.006971414014471399,4.6497379398765935
0.74,0.009939464321873056,4.995029675556088,-0.001778150590699288,4.642495192924612
0.75,0.015543278426811875,4.992227756728602,0.003467477981876682,4.635233514833378
0.76,0.021170600194512397,4.98941405588445,0.008751876487038016,4.627959719773737
0.77,0.02680579460557663,4.986596398981557,0.014061360635461512,4.62068066006425
0.78,0.032433144434887116,4.983782678965539,0.019382046994573455,4.6134032790459125
0.79,0.03803690287223375,4.980980813573684,0.024699993888037234,4.606134541785109
0.8,0.04360134616015366,4.9781986092635675,0.03000124162952506,4.598881414780577
0.81,0.049110825178910064,4.975443875723984,0.03527188365913012,4.591650831387419
0.8200000000000001,0.05454981720509282,4.972724379722242,0.040498193387934193,4.584449631493267
0.8300000000000001,0.05990297717783758,4.970047807586009,0.04566651958303259,4.577284608173067
0.84,0.06515518930628095,4.967421691185008,0.05076337726507123,4.57016246397963
0.85,0.070291615175714,4.964853446238691,0.05577549766809103,4.563089786155298
0.86,0.07529774219636226,4.962350349602634,0.06068987046339983,4.556073025566491
0.87,0.08015943098348435,4.959919508504668,0.06549374794797252,4.549118498503833
0.88,0.084862962739069,4.957567745387795,0.07017471867277705,4.5422323467375065
0.89,0.08939508156630763,4.955301671854363,0.07472076193098656,4.5354205090788895
0.9,0.09374303666194385,4.953127680399475,0.0791202776032066,4.5286887077567695
0.91,0.09789462290143743,4.951051910791016,0.08336212828176193,4.522042427411724
0.92,0.10183821620083035,4.949080145524258,0.08743560747067815,4.515486932527138
0.93,0.10556281197785085,4.947217858725667,0.09133036249925458,4.509027308406572
0.9400000000000001,0.10905805982477054,4.945470227765272,0.0950366831867817,4.5026683119808615
0.9500000000000001,0.11231429444349204,4.943842100729173,0.0985454430154176,4.496414403291648
0.96,0.11532256579716228,4.942337939289707,0.10184812974856336,4.490269730468268
0.97,0.11807466507366786,4.940961837750461,0.10493686476108585,4.484238120405772
0.98,0.12056314826192482,4.939717541711285,0.10780413632971703,4.4783232154037735
